name,teff,e_teff,logg,e_logg,fe_h,e_fe_h,a_fe,vsini,e_vsini,v,eso_starid,spec_url
HD074180,8049.38,36.537,1.22546,0.00673379,0.52552,0.12846,0.470868,18.2998,0.470068,31.0609,74180,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD074180.fits.gz
IC2391-0033,8029.21,8.09565,4.28198,0.0103724,0.233027,0.00610945,-0.166251,93.677,0.46922,22.2986,IC2391_33,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/IC2391-0033.fits.gz
IC2391-0040,7899.23,10.0392,4.33971,0.0103629,0.21567,0.00463376,0.141196,84.792,0.35887,-3.12584,IC2391_40,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/IC2391-0040.fits.gz
HD083368,7873.74,7.21887,4.47409,0.0180318,0.40361,0.00849272,-0.103178,36.7662,0.269275,2.005,83368,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD083368.fits.gz
HD104237,7722.54,5.33093,4.93607,0.0135365,-0.061664,0.00750419,0.331677,12.9414,0.2545,22.555,104237,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD104237.fits.gz
HD163318,7684.83,2.61978,4.1413,0.00832652,-0.337838,0.00504513,0.140944,137.722,0.481139,15.5045,163318,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD163318.fits.gz
HD070574,7626.64,2.93337,3.94962,0.00997985,0.255627,0.00426244,0.287174,105.23,0.407463,28.3485,70574,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD070574.fits.gz
HD320768,7611.0,2.19416,4.45923,0.00693698,-0.0381846,0.00418119,0.0655507,129.909,0.375241,-11.6732,320768,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD320768.fits.gz
HD203875,7581.48,3.21237,4.13549,0.00743799,0.0390732,0.00494231,0.0640153,93.3514,0.350057,-18.3434,203875,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD203875.fits.gz
Altair,7485.44,2.01729,3.71771,0.00687765,-0.0802652,0.00381315,0.0840769,216.596,0.516794,-24.0593,Altair,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/Altair.fits.gz
HD050241,7451.33,2.28386,3.61383,0.00850943,-0.0596757,0.00465506,0.115868,213.514,0.571168,14.2631,50241,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD050241.fits.gz
IC2391-0043,7448.73,2.4929,4.0369,0.00806863,0.0585261,0.00461848,-0.0746069,77.2795,0.278094,37.0074,IC2391_43,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/IC2391-0043.fits.gz
HD210111,7445.94,1.84233,3.79815,0.00645304,-1.04575,0.00400618,0.181504,49.3602,0.166469,-3.33634,210111,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD210111.fits.gz
HD111786,7436.17,2.18202,4.03088,0.00817594,-1.69969,0.0123402,0.491496,47.0,0.0,-7.02582,111786,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD111786.fits.gz
IC2391-0011,7430.47,3.46328,3.5495,0.00967757,-0.0318598,0.00481189,-0.0127924,32.9349,0.138887,11.0281,IC2391_11,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/IC2391-0011.fits.gz
HD034295,7428.02,3.15667,3.66797,0.00897936,0.178904,0.0046837,-0.340115,54.8745,0.203447,20.3933,34295,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD034295.fits.gz
HD090132,7414.74,2.02076,3.95015,0.00526835,-0.0492765,0.00370039,0.154528,215.098,0.515199,7.16741,90132,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD090132.fits.gz
HD074272,7369.68,3.83203,2.03708,0.00995505,-0.457397,0.00597813,0.744807,15.0992,0.143779,14.663,74272,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD074272.fits.gz
HD024712,7357.62,4.04509,4.09484,0.0149615,-0.47401,0.00570606,0.174498,9.73463,0.214665,21.7539,24712,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD024712.fits.gz
HD090772,7319.75,227636.0,0.934713,61.6815,-0.399021,112.463,-0.118545,16.4781,0.527274,2.23506,90772,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD090772.fits.gz
HD142703,7284.62,1.45679,3.84615,0.00670719,-1.76923,0.00616013,0.315385,92.5389,0.347229,22.4879,142703,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD142703.fits.gz
HD145191,7213.18,2.8538,3.84346,0.00793025,-0.0334228,0.00463571,0.137986,97.0845,0.306658,-6.97987,145191,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD145191.fits.gz
HD073634,7198.56,3.7548,2.14704,0.0102254,-0.352956,0.00529673,0.141338,4.2875,0.413876,19.7122,73634,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD073634.fits.gz
IC2391-0019,7183.91,2.92961,3.08321,0.0115128,-0.219391,0.00493617,0.248157,225.546,0.604972,-7.09213,IC2391_19,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/IC2391-0019.fits.gz
HD012311,7125.7,2.84034,3.46543,0.010442,0.108407,0.0040168,0.322347,145.363,0.438404,18.0196,12311,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD012311.fits.gz
HD007312,7088.59,2.85549,3.38764,0.0097152,-0.0984413,0.00444231,0.378099,95.0205,0.30279,21.8653,7312,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD007312.fits.gz
Canopus,7028.85,34.918,1.11952,0.00965367,-0.272479,0.00624266,-0.149366,0.165011,0.0,20.6278,Canopus,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/Canopus.fits.gz
